747
People	Turns
100	153
100	155
100	150
100	175
100	146
100	143
100	157
100	146
100	148
100	146
110	147
110	165
110	159
110	172
110	176
110	165
110	155
110	161
110	151
110	175
120	163
120	166
120	177
120	164
120	169
120	169
120	176
120	188
120	177
120	197
130	191
130	205
130	193
130	199
130	188
130	183
130	174
130	185
130	193
130	193
140	190
140	222
140	204
140	203
140	215
140	206
140	199
140	205
140	221
140	213
150	217
150	235
150	217
150	227
150	216
150	229
150	211
150	211
150	230
150	225
160	224
160	228
160	245
160	238
160	226
160	217
160	221
160	223
160	224
160	227
170	245
170	245
170	226
170	250
170	251
170	249
170	259
170	236
170	240
170	237
180	241
180	258
180	269
180	254
180	265
180	244
180	253
180	237
180	252
180	253
190	266
190	264
190	282
190	252
190	281
190	298
190	273
190	265
190	286
190	279
200	290
200	266
200	281
200	282
200	307
200	290
200	277
200	284
200	291
200	294
210	290
210	287
210	296
210	320
210	300
210	304
210	331
210	317
210	305
210	313
220	314
220	324
220	304
220	306
220	329
220	312
220	302
220	305
220	319
220	311
230	329
230	334
230	340
230	327
230	330
230	342
230	343
230	319
230	338
230	337
240	325
240	328
240	329
240	333
240	350
240	358
240	341
240	351
240	354
240	344
250	346
250	348
250	346
250	359
250	352
250	363
250	342
250	364
250	344
250	371
260	365
260	374
260	375
260	383
260	383
260	350
260	368
260	379
260	388
260	372
270	381
270	397
270	385
270	388
270	372
270	384
270	374
270	389
270	365
270	417
280	398
280	392
280	401
280	413
280	386
280	428
280	399
280	396
280	390
280	389
290	387
290	418
290	427
290	415
290	408
290	414
290	422
290	405
290	416
290	405
300	415
300	435
300	452
300	425
300	422
300	425
300	463
300	416
300	431
300	405
310	446
310	454
310	439
310	449
310	441
310	447
310	419
310	438
310	484
310	446
320	427
320	451
320	468
320	444
320	447
320	451
320	469
320	455
320	465
320	455
330	465
330	467
330	454
330	468
330	465
330	501
330	481
330	464
330	481
330	477
340	481
340	500
340	496
340	478
340	497
340	472
340	489
340	479
340	496
340	502
350	481
350	496
350	475
350	505
350	490
350	488
350	499
350	497
350	495
350	475
360	514
360	510
360	506
360	499
360	528
360	516
360	517
360	510
360	518
360	505
370	512
370	540
370	526
370	521
370	511
370	508
370	528
370	524
370	542
370	530
380	538
380	536
380	538
380	545
380	535
380	546
380	532
380	540
380	546
380	526
390	542
390	564
390	537
390	525
390	538
390	537
390	535
390	532
390	561
390	534
400	544
400	551
400	556
400	542
400	548
400	538
400	569
400	543
400	538
400	552
410	580
410	555
410	550
410	540
410	559
410	575
410	545
410	550
410	573
410	539
420	549
420	541
420	543
420	585
420	556
420	564
420	555
420	544
420	545
420	554
430	534
430	585
430	567
430	577
430	540
430	566
430	593
430	550
430	558
430	550
440	579
440	550
440	556
440	561
440	577
440	545
440	563
440	557
440	565
440	551
450	572
450	560
450	590
450	554
450	536
450	578
450	550
450	553
450	562
450	577
460	570
460	561
460	591
460	563
460	555
460	593
460	586
460	543
460	582
460	590
470	586
470	607
470	589
470	588
470	581
470	603
470	562
470	584
470	562
470	591
480	590
480	585
480	574
480	572
480	604
480	588
480	587
480	607
480	581
480	571
490	544
490	555
490	602
490	582
490	577
490	628
490	571
490	594
490	619
490	584
500	580
500	590
500	600
500	574
500	581
500	612
500	585
500	606
500	602
500	579
510	601
510	589
510	621
510	591
510	583
510	606
510	571
510	581
510	587
510	625
520	555
520	640
520	565
520	577
520	590
520	606
520	588
520	581
520	624
520	578
530	607
530	621
530	580
530	580
530	593
530	614
530	618
530	591
530	575
530	601
540	598
540	586
540	625
540	601
540	581
540	623
540	603
540	587
540	597
540	609
550	627
550	608
550	617
550	608
550	617
550	614
550	609
550	615
550	614
550	599
560	602
560	617
560	640
560	636
560	618
560	619
560	631
560	638
560	626
560	613
570	628
570	633
570	637
570	634
570	640
570	647
570	623
570	622
570	634
570	642
580	643
580	649
580	649
580	652
580	651
580	636
580	647
580	663
580	664
580	641
590	622
590	657
590	677
590	665
590	670
590	654
590	653
590	647
590	684
590	652
600	648
600	674
600	678
600	673
600	682
600	685
600	666
600	660
600	662
600	657
610	656
610	665
610	675
610	684
610	699
610	678
610	704
610	676
610	693
610	679
620	707
620	688
620	705
620	689
620	694
620	695
620	712
620	683
620	709
620	690
630	687
630	710
630	695
630	705
630	719
630	712
630	718
630	711
630	705
630	730
640	698
640	730
640	718
640	712
640	729
640	720
640	713
640	716
640	722
640	712
650	750
650	746
650	731
650	732
650	725
650	756
650	730
650	727
650	737
650	719
660	732
660	762
660	747
660	739
660	730
660	727
660	745
660	740
660	765
660	744
670	755
670	739
670	748
670	766
670	764
670	752
670	782
670	752
670	756
670	756
680	775
680	784
680	762
680	780
680	793
680	760
680	782
680	760
680	767
680	778
690	763
690	802
690	814
690	790
690	781
690	782
690	801
690	769
690	771
690	776
700	791
700	809
700	786
700	788
700	797
700	791
700	780
700	784
700	799
700	795
710	798
710	801
710	796
710	818
710	768
710	801
710	801
710	786
710	821
710	785
720	813
720	834
720	805
720	803
720	806
720	815
720	807
720	814
720	818
720	807
730	827
730	838
730	842
730	842
730	820
730	822
730	838
730	831
730	851
730	838
740	827
740	832
740	846
740	847
740	847
740	863
740	854
740	860
740	832
740	850
